ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
QUQVEE,I 1 2/a 1,False,"(0, 1, 0)",11.02,11.021,22.04177127637432,6.509,0.9999650084212992,90.0,73.545
QUWLIG,C 1 2/c 1,False,"(0, 1, 0)",10.241,10.241,20.481882970078704,9.356,1.0000057138262857,90.0,65.449
QUWPIK,C 1 2/c 1,False,"(0, 1, 0)",10.586,10.587,21.17331306149324,6.556,0.9999852143359744,90.0,72.794
QUXPIL,C 1 2/c 1,False,"(0, 1, 0)",10.009,10.009,20.018062868319703,6.146,0.9999968594204088,90.0,72.932
QUZQAG,C 1 2/c 1,False,"(0, 1, 0)",8.107,8.107,16.213960928779862,5.98,1.0000024097270437,90.0,69.758
RABPUB,C 1 2/c 1,False,"(0, 1, 0)",15.942,15.942,31.883939185740523,10.019,1.000001907363426,90.0,72.554
RABZAW,C 1 2/c 1,False,"(0, 1, 0)",7.707,7.708,15.414352078501386,7.194,1.0000420336511917,90.0,64.985
RACBEG,C 1 2/c 1,False,"(0, 1, 0)",7.079,7.079,14.157906377709947,8.128,1.0000066127213696,90.0,60.138
RACJEL,C 1 2/c 1,False,"(0, 1, 0)",19.594,19.594,39.1873058145109,13.443,1.0000177145500226,90.0,71.064
RADYUQ,C 1 2/c 1,False,"(0, 1, 0)",11.013,11.013,22.026446490525885,6.317,0.9999797293437196,90.0,73.997
RAGRUP,C 1 2/c 1,False,"(0, 1, 0)",13.444,13.445,26.88823952957873,7.741,1.0000282826408342,90.0,73.94
RAJFIT,C 1 2/c 1,False,"(0, 1, 0)",9.533,9.533,19.06610731114246,9.59,0.999994371628109,90.0,63.3
RAKRUS,C 1 2/c 1,False,"(0, 1, 0)",9.735,9.736,19.47050512955429,7.025,1.0000254164153637,90.0,70.159
RAMRIG,I 1 2/a 1,False,"(0, 1, 0)",10.116,10.117,20.233,6.127,1.0,90.0,73.155
RAMSAZ,A 1 2/n 1,False,"(0, 1, 0)",9.76,9.761,19.521,5.624,1.0,90.0,73.929
RAMZIP,C 1 2/c 1,False,"(0, 1, 0)",12.383,12.383,24.76600736897249,6.822,0.9999997024561776,90.0,74.599
RAPJOI,C 1 2/c 1,False,"(0, 1, 0)",8.31,8.31,16.62002433812899,6.888,0.9999985356141188,90.0,67.489
RAQCAQ,C 1 2/c 1,False,"(0, 1, 0)",12.227,12.227,24.45363613044081,12.302,1.0000148799776547,90.0,63.295
RAQJOJ,C 1 2/c 1,False,"(0, 1, 0)",16.628,16.629,33.256834395353984,10.482,1.000004979567329,90.0,72.508
RAQSIO,C 1 2/c 1,False,"(0, 1, 0)",9.085,9.086,18.17099474437214,8.279,1.0000002892317086,90.0,65.506
RARHEZ,C 1 2/c 1,False,"(0, 1, 0)",12.811,12.812,25.623326442911345,8.053,0.9999872599323872,90.0,72.554
RARPEG,C 1 2/c 1,False,"(0, 1, 0)",13.427,13.427,26.853363159947023,12.197,1.0000237154671905,90.0,65.575
RARWEO,C 1 2/c 1,False,"(0, 1, 0)",9.041,9.041,18.08109421467628,8.958,1.0000500957139522,90.0,63.644
RAWHII,C 1 2/c 1,False,"(0, 1, 0)",11.787,11.788,23.575256732430297,7.523,0.9999891100897348,90.0,72.302
RAXFEE,C 1 2/c 1,False,"(0, 1, 0)",12.209,12.209,24.417694751962152,12.588,1.0000125010997536,90.0,62.727
RAXFOO,C 1 2/c 1,False,"(0, 1, 0)",8.625,8.625,17.250458544630053,7.874,0.9999734184092054,90.0,65.466
RAXRAL,C 1 2/c 1,False,"(0, 1, 0)",7.529,7.53,15.059396335842948,7.662,0.999973681824018,90.0,63.031
RAYRES,C 1 2/c 1,False,"(0, 1, 0)",8.183,8.184,16.366670064493878,9.008,1.0000201589880422,90.0,61.175
RECLER,C 1 2/c 1,False,"(0, 1, 0)",7.177,7.177,14.354077399819188,6.453,0.9999946078165086,90.0,65.793
REDPEZ,C 1 2/c 1,False,"(0, 1, 0)",10.829,10.83,21.6585410635158,10.773,1.0000211896305875,90.0,63.552
REFCIO,I 1 2/a 1,False,"(0, 1, 0)",9.578,9.578,19.156,10.131,1.0,90.0,62.126
REHVUY,C 1 2/c 1,False,"(0, 1, 0)",10.272,10.273,20.54502475053267,8.724,0.9999987953028548,90.0,66.99
REJNOJ,C 1 2/c 1,False,"(0, 1, 0)",8.803,8.804,17.607313310099304,9.314,0.9999822056838664,90.0,62.12
REKBEP,C 1 2/c 1,False,"(0, 1, 0)",8.617,8.619,17.235661228975232,8.263,1.0000196552380711,90.0,64.389
REKGUN,C 1 2/c 1,False,"(0, 1, 0)",12.384,12.384,24.767489981829,8.291,1.0000205922429513,90.0,71.494
RELRIL,C 1 2/c 1,False,"(0, 1, 0)",14.085,14.086,28.170301400588528,15.319,1.0000247991457931,90.0,61.461
RELSIO,I 1 2/a 1,False,"(0, 1, 0)",10.326,10.326,20.652775721437543,7.332,0.9999624398459556,90.0,70.457
REMLOM,C 1 2/c 1,False,"(0, 1, 0)",10.472,10.474,20.946151197773784,7.346,0.9999927815963726,90.0,70.674
REMLUT,C 1 2/c 1,False,"(0, 1, 0)",11.438,11.44,22.87800152985396,10.763,0.9999999331299128,90.0,64.807
REMVAI,C 1 2/c 1,False,"(0, 1, 0)",7.52,7.52,15.040073437320707,8.271,0.9999951172232624,90.0,61.192
REMWIR,C 1 2/c 1,False,"(0, 1, 0)",11.643,11.644,23.287230878745543,11.785,0.99999008560757,90.0,63.157
RERBEV,C 1 2/c 1,False,"(0, 1, 0)",10.765,10.766,21.53137917087524,6.242,0.9999823898472908,90.0,73.831
RERXUJ,C 1 2/c 1,False,"(0, 1, 0)",12.371,12.372,24.742971224167885,13.483,1.0000011629901622,90.0,61.415
RESLUW,C 1 2/c 1,False,"(0, 1, 0)",10.833,10.834,21.66733322308032,6.165,0.9999846209463396,90.0,74.118
RETFOM,C 1 2/c 1,False,"(0, 1, 0)",7.068,7.068,14.135204597033606,7.81,1.0000562710614431,90.0,61.077
RETMAF,C 1 2/c 1,False,"(0, 1, 0)",13.77,13.771,27.54033249617731,7.419,1.0000242373189496,90.0,74.926
RETROA,C 1 2/c 1,False,"(0, 1, 0)",8.714,8.714,17.427582305070317,5.764,1.000023967462748,90.0,71.7
REVJEI,C 1 2/c 1,False,"(0, 1, 0)",11.0,11.001,22.000893845478192,11.412,1.0000048250094995,90.0,62.584
REWCEB,C 1 2/c 1,False,"(0, 1, 0)",9.175,9.175,18.34996831059934,8.457,1.0000017269457977,90.0,65.254
REXVAS,C 1 2/c 1,False,"(0, 1, 0)",9.279,9.279,18.55740221582752,8.931,1.0000322127076586,90.0,64.303
REZDEJ,C 1 2/c 1,False,"(0, 1, 0)",9.841,9.842,19.68311746141855,8.69,0.999994032377301,90.0,66.177
RIBDOV,C 1 2/c 1,False,"(0, 1, 0)",10.753,10.753,21.50671748547416,8.985,0.9999666390059456,90.0,67.323
RIFTUY,C 1 2/c 1,False,"(0, 1, 0)",9.998,9.999,19.99658075771956,9.964,1.0000209656983623,90.0,63.512
RIGMAX,C 1 2/c 1,False,"(0, 1, 0)",8.046,8.046,16.09196547970446,8.206,1.000002145188267,90.0,62.98
RIGMUQ,C 1 2/c 1,False,"(0, 1, 0)",9.727,9.727,19.454622484129576,7.682,0.999968003278908,90.0,68.451
RIGPUU,C 1 2/c 1,False,"(0, 1, 0)",8.802,8.802,17.60399272892374,6.284,1.000000413035632,90.0,70.353
RIGTAE,C 1 2/c 1,False,"(0, 1, 0)",9.706,9.706,19.41251354152779,6.613,0.9999735458508918,90.0,71.19
RIJCEV,C 1 2/c 1,False,"(0, 1, 0)",9.919,9.92,19.83932886969718,5.61,0.9999834233456514,90.0,74.209
RIKPAC,C 1 2/c 1,False,"(0, 1, 0)",9.372,9.372,18.74354995725196,5.622,1.0000240105395757,90.0,73.304
RIKQEK,C 1 2/c 1,False,"(0, 1, 0)",10.336,10.337,20.67227829727532,8.658,1.0000349116200116,90.0,67.277
RILQEK,C 1 2/c 1,False,"(0, 1, 0)",8.633,8.633,17.26586994622628,6.289,1.0000075324193989,90.0,69.987
RIMZEW,I 1 2/a 1,False,"(0, 1, 0)",9.724,9.724,19.4483847144178,7.466,0.9999802186956166,90.0,68.996
RIPTAN,C 1 2/c 1,False,"(0, 1, 0)",10.628,10.629,21.25713746015677,9.282,0.9999935334587252,90.0,66.412
