ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
OHPHXD,P c c a,False,"(1, 0, 0)",2.517,5.662,6.795975941687845,17.528,2.263962413076688,147.88685675134212,19.355
VACYIK,P c c a,False,"(1, 0, 0)",3.955,8.675,6.980266828710777,22.83,2.3729969167223426,130.31579474931564,24.792
VIFGOG,P c c a,False,"(1, 0, 0)",2.59,6.734,7.160637192317455,15.15,1.8570815062427013,135.47953077146423,24.717
JOBCOV,R -3 c,True,"(0, 0, 1)",11.978,11.978,39.18937458036299,49.751,1.997033942458058,162.17576417535616,15.384
IZAXIQ,A b a 2,False,"(0, 0, 1)",5.995,5.995,11.99,22.606,1.0,90.0,27.943
SODBAR,A b a 2,False,"(0, 0, 1)",4.028,4.028,8.056,15.454,1.0,90.0,27.531
BIMZEC,F d d 2,False,"(0, 0, 1)",5.246,5.246,14.307885553078764,23.266,1.2593983471029504,144.39008373603525,16.73
FILGIQ01,F d d 2,False,"(0, 0, 1)",6.597,6.597,11.955792780071093,17.649,1.635394635651478,137.5613237933639,26.494
NIWSIY,F d d 2,False,"(0, 0, 1)",8.135,8.135,16.15461407771786,20.181,1.2901750793303075,128.68218745348943,28.253
ZOMKUL,P c c n,False,"(1, 0, 0)",3.21,7.043,6.828814831286612,17.43,2.3712349823905616,140.71445689342144,24.293
ATEPEX,P c c n,False,"(0, 1, 0)",2.279,4.946,16.002197411605696,10.418,1.0832646404245432,155.36752268259852,16.14
BACQED,P c c n,False,"(0, 1, 0)",2.306,6.041,7.370385607279988,20.84,1.843290587767287,142.0921579053488,17.389
BAJQOT01,P c c n,False,"(1, 0, 0)",1.937,5.811,7.748,18.211,1.0,90.0,23.05
CALJAC,P c c n,False,"(1, 0, 0)",2.108,6.322,8.43,20.094,1.0,90.0,22.758
CAMHEF,P c c n,False,"(0, 1, 0)",2.482,5.833,7.934207269790725,21.322,2.110490056823153,150.22705186856675,16.421
CISGOA,P c c n,False,"(1, 0, 0)",1.977,5.932,7.909,24.423,1.0000000000000002,90.0,17.945
DASBOR,P c c n,False,"(0, 1, 0)",2.2,6.362,8.689162560339172,21.094,1.6802782791706214,144.09593141668284,16.925
DEXMID,P c c n,False,"(1, 0, 0)",5.418,7.5,18.041599208495903,18.868,1.2769324695583095,145.8938344557341,20.913
DEZKUO,P b n b,False,"(0, 0, 1)",3.716,5.602,17.5748399139224,7.239,1.2401157971439156,154.688934844513,21.944
DEZLOM,P c c n,False,"(0, 1, 0)",2.247,5.129,8.652043689210082,15.121,1.027323784382351,123.91759695289696,20.294
DIDSAL,P c c n,False,"(0, 1, 0)",2.442,6.824,7.608688783226713,23.337,1.7293600460913905,135.23491532867158,17.871
DOQLOL,P c c n,False,"(0, 1, 0)",3.184,7.52,9.185315291267903,21.518,2.094905840999497,146.2015996235899,20.162
DUPBIA,P c c n,False,"(1, 0, 0)",2.843,6.275,6.173232621568703,23.529,2.346339219333788,140.98671300287097,17.842
EJUGOF,P c c n,False,"(0, 1, 0)",2.002,5.587,8.635360907339079,23.375,1.0598922272572793,123.98666925601958,15.063
FOSGAW,P c c n,False,"(0, 1, 0)",1.781,5.174,7.374389398451915,18.095,1.6731930699861248,145.6900073120969,16.043
GAKWAS,P c c n,False,"(1, 0, 0)",2.806,6.649,9.806726161161022,29.86,1.0342811070667512,111.223073775958,15.802
GELYOO,P c c n,False,"(1, 0, 0)",3.609,9.17,13.07583515497194,21.705,1.0462416934928065,110.91606964828183,25.852
GORZUL,P c c n,False,"(1, 0, 0)",3.517,7.542,8.099255150938264,31.863,2.488356008309868,146.72010905531772,15.974
GOTWIX,P c c n,False,"(1, 0, 0)",3.753,10.698,9.91397004231907,20.595,1.700486204841724,120.99745498628016,29.347
GUVVAU,P c c n,False,"(0, 1, 0)",2.096,5.555,6.866824739280886,19.891,1.821131485185148,142.27906148398682,16.811
HAXFUL,P c c n,False,"(1, 0, 0)",3.873,8.648,7.895732391615106,27.129,2.2954300977792874,136.30272470036948,20.873
HEHZUS,P c c n,False,"(1, 0, 0)",2.374,6.603,6.376383300900284,13.933,1.737420923669842,125.87366688232014,26.935
HETGET,P c c n,False,"(0, 1, 0)",4.458,10.071,8.108975829289419,29.362,2.248122348409088,127.15691691896237,22.981
HMFLUT10,P c c n,False,"(0, 1, 0)",3.18,5.588,8.958691087430127,21.082,1.2893467487620245,49.38295991588068,18.042
IBEJEI,P c c n,False,"(0, 1, 0)",2.285,6.856,9.141,26.686,1.0,90.0,18.908
ICISIZ,P c c n,False,"(0, 1, 0)",3.399,7.31,5.840684976952618,14.821,2.469846314685518,132.0670648024952,29.754
IDAYER,P c c n,False,"(0, 1, 0)",2.165,6.496,8.661,23.496,1.0000000000000002,90.0,20.237
IFALIN,P c c n,False,"(0, 1, 0)",3.627,7.595,15.492121610676827,16.352,1.2817664746127069,145.58849133023054,21.068
IFOKOH,P c c n,False,"(0, 1, 0)",2.078,5.718,9.720481160930255,19.925,1.0577655635108274,130.69256357452542,16.536
IMIMOG,P c c n,False,"(1, 0, 0)",2.515,6.786,6.596686668320696,20.511,1.7880808828892667,127.95192028924646,20.735
IQAKOA,P c c n,False,"(1, 0, 0)",1.922,5.765,7.687,13.477,1.0,90.0,29.702
JAWQEH,P c c n,False,"(1, 0, 0)",1.835,5.436,7.756576951207279,18.977,1.650228456286491,145.38624272590795,15.997
JEKDOT,P c c n,False,"(1, 0, 0)",3.06,6.793,6.198981367934573,22.365,2.318418484328096,136.7189879975829,20.134
JOYNIW,P c c n,False,"(0, 1, 0)",3.771,9.269,7.136097322766836,20.829,1.9826514999125244,112.83011067217586,28.923
JUZCIS,P c c n,False,"(0, 1, 0)",2.947,6.903,6.044866747910991,16.637,2.120685780121326,129.79181949955725,25.657
KACFIF,P n a a,False,"(0, 0, 1)",3.886,8.821,13.173024102308476,22.38,1.0261254219479763,109.9378111798377,25.308
KAHDEF,P c c n,False,"(0, 1, 0)",2.073,6.219,8.292,25.894,1.0,90.0,17.756
KURNAP,P c c n,False,"(1, 0, 0)",2.128,5.464,7.627086075297695,19.748,1.8838252884144653,148.1030698930671,16.146
KUXJUK,P c c n,False,"(1, 0, 0)",2.392,7.105,7.403880198922724,18.886,1.6448677411856023,128.75562249107986,21.99
LEWLOS,P c c n,False,"(1, 0, 0)",3.807,8.461,6.64505492829066,22.002,2.3142654809519683,127.08506032429864,25.25
LOYQUO,P c c n,False,"(1, 0, 0)",3.17,5.799,17.080195929789564,10.039,1.0465135924092397,149.88270525267794,19.87
LUZGUJ,P c c n,False,"(1, 0, 0)",2.473,7.418,9.891,28.993,1.0,90.0,18.839
MAJCAE,P c c n,False,"(0, 1, 0)",2.936,7.126,10.677963944498034,18.589,1.038335479524276,114.83458748970158,23.56
MASMOM,P c c n,False,"(1, 0, 0)",2.021,6.062,8.083,24.48,1.0,90.0,18.272
MATVEM,P c c n,False,"(0, 1, 0)",2.414,5.306,5.1304710310068025,19.539,2.3628330605810013,140.4437730952999,18.191
MELKIB,P c c n,False,"(0, 1, 0)",4.243,7.474,14.158859982357336,12.337,1.2146378269572686,137.05432419205533,27.301
MHTPDX,P b n b,False,"(1, 0, 0)",2.64,4.969,13.612717950504962,7.551,1.0514861939301108,147.88685675134212,21.738
MILMEA,P c c n,False,"(1, 0, 0)",2.979,6.565,6.732245613463609,16.025,2.3523392237622645,142.93953860958726,24.041
MIWQIT,P c c n,False,"(0, 1, 0)",2.062,4.924,8.864907952144794,17.309,1.0358347218025128,130.46624852410716,16.851
MIWRIW,P c c n,False,"(0, 1, 0)",2.114,6.343,8.457,22.207,1.0,90.0,20.85
MOBMIZ,P c c n,False,"(1, 0, 0)",2.583,5.732,11.0274647131605,22.46,1.0219684548768233,132.45415020440095,15.539
MOMDID,P c c n,False,"(1, 0, 0)",1.995,5.986,7.981,17.322,1.0,90.0,24.74
MOVHIR,P c c n,False,"(1, 0, 0)",3.02,8.211,7.850739137176831,20.72,1.7750323277791984,126.29906308655995,23.881
MUMSOE,P c c n,False,"(1, 0, 0)",1.708,5.124,6.832,21.768,1.0,90.0,17.424
NIVNEM,P c c n,False,"(1, 0, 0)",1.893,5.68,7.573,27.563,1.0,90.0,15.361
NOBRIH,P c c n,False,"(1, 0, 0)",2.456,7.368,9.824,33.83,1.0,90.0,16.192
NUSQEY,P c c n,False,"(1, 0, 0)",2.013,6.04,8.053,14.794,1.0,90.0,28.562
OBAHIK,P c c n,False,"(0, 1, 0)",7.598,7.602,17.96011553414955,21.099,1.6115289743682508,148.3206020332062,22.672
OGARAT,P c c n,False,"(1, 0, 0)",1.736,5.208,6.944,17.957,1.0,90.0,21.142
OLUSOD,P c c n,False,"(1, 0, 0)",3.25,8.283,11.898429224061468,34.097,1.0465058657923216,112.14797910144704,16.644
OMEYEK,P c c n,False,"(0, 1, 0)",1.879,5.636,7.515,15.129,1.0000000000000002,90.0,26.413
OPUNET,P c c n,False,"(1, 0, 0)",2.678,6.699,5.806873857765467,13.534,1.9396732988440344,123.64186485571872,29.238
OTICOL,P c c n,False,"(0, 1, 0)",3.116,7.438,6.979797418263656,23.458,2.0622658111863146,132.84364304359633,20.518
PAYSEO,P c c n,False,"(0, 1, 0)",2.742,6.279,7.208187983120307,17.755,2.1975784681230635,145.285505475651,20.856
PIWPET,P c c n,False,"(0, 1, 0)",4.355,10.03,15.045415115575906,25.764,1.0291415988364594,111.71561728326446,24.66
POFXEQ,P c c n,False,"(1, 0, 0)",2.895,6.768,12.523982194174502,26.062,1.0318658472144429,131.6056537839165,15.699
QARCAN,P c c n,False,"(1, 0, 0)",1.834,5.503,7.337,14.284,1.0,90.0,27.187
QITMAH,P c c n,False,"(0, 1, 0)",1.981,5.942,7.923,24.979,1.0,90.0,17.596
QIVTAS,P c c n,False,"(0, 1, 0)",2.858,6.641,6.755733416883765,26.418,2.1442912886452623,139.02536977055468,16.77
QOHQUA,P c c n,False,"(0, 1, 0)",1.773,5.317,7.09,25.941,1.0,90.0,15.287
QOVROI,P c c n,False,"(0, 1, 0)",2.2,5.964,6.553707042582847,17.5,1.779211375556784,135.56130536919648,20.208
RIJSIQ,P c c n,False,"(1, 0, 0)",4.164,7.46,17.03839203094001,19.016,1.3196439247382166,148.87038667722317,19.085
RIWDIM,P c c n,False,"(0, 1, 0)",2.364,6.199,7.303078871270665,16.717,1.8411659362217865,140.4437730952999,20.965
RUQXUX,P c c n,False,"(0, 1, 0)",3.208,6.466,15.7841325704012,8.799,1.0654982229575622,144.88508433058885,24.018
SAHLIZ,P c c n,False,"(0, 1, 0)",4.012,7.249,16.50658674590238,21.145,1.5504989982866315,153.89640888162404,17.384
SANDIW,P n a a,False,"(0, 0, 1)",1.95,5.737,9.395046886524836,21.826,1.0671607400644776,129.94111664125143,15.424
SEDYUV,P c c n,False,"(1, 0, 0)",1.807,5.421,7.228,20.273,1.0,90.0,19.624
SEZZIH,P c c n,False,"(0, 1, 0)",2.097,5.722,6.395096402713566,23.388,1.7671163534113945,136.2198519628063,15.602
SUHWIC,P c c n,False,"(1, 0, 0)",2.176,6.527,8.703,20.535,1.0,90.0,22.97
