ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
MAYDEY,P a -3,False,"(1, -1, 1)",14.083,14.083,27.659188852892992,0.0086602540378443,1.0183234276971214,90.0,89.983
BEGDOI,I -4,True,"(0, 0, 1)",17.76,17.76,25.116,6.338,1.4142379359770665,90.0,79.882
FETMEA,I -4,True,"(0, 0, 1)",14.438,14.438,20.418,7.232,1.4142423351944364,90.0,75.94
ITUVAW,I -4,True,"(0, 0, 1)",25.379,25.379,35.892,8.506,1.414187005460827,90.0,80.489
KEZNEK,I -4,True,"(0, 0, 1)",14.688,14.688,20.772,6.483,1.41421143847487,90.0,77.556
MIBMIV,I -4,True,"(0, 0, 1)",15.959,15.959,22.57,8.001,1.4141781125387682,90.0,75.928
MUMLEM,I -4,True,"(0, 0, 1)",15.095,15.095,21.348,7.513,1.4141839985010307,90.0,76.026
NEFHIQ,I -4,True,"(0, 0, 1)",17.287,17.287,24.448,7.028,1.4141852094240837,90.0,78.512
SOJXAR,I -4,True,"(0, 0, 1)",15.826,15.826,22.382,6.533,1.4141721025824323,90.0,78.341
SUPJAO,I -4,True,"(0, 0, 1)",14.32,14.32,20.252,6.68,1.414181315425637,90.0,76.874
TONWAX,I -4,True,"(0, 0, 1)",15.5,15.5,21.92,5.534,1.4142335766423355,90.0,79.876
UZAHAG,I -4,True,"(0, 0, 1)",17.375,17.375,24.572,6.892,1.414211297411688,90.0,78.782
XEWCOU,I -4,True,"(0, 0, 1)",14.931,14.931,21.116,6.532,1.4141882932373555,90.0,77.659
DURWIW,A b a 2,False,"(0, 0, 1)",13.446,13.446,26.892,6.938,1.0,90.0,75.533
IRUXID,A b a 2,False,"(0, 0, 1)",10.953,10.953,21.906,5.807,1.0,90.0,75.155
OQURAW,A b a 2,False,"(0, 0, 1)",15.658,15.658,31.316,7.963,1.0,90.0,75.734
WIPNUH,A b a 2,False,"(0, 0, 1)",16.13,16.13,32.26,7.12,1.0,90.0,77.556
HIKXAD,F d d 2,False,"(0, 0, 1)",18.615,18.615,35.44585342462501,5.211,1.0531442742167694,94.18631567989422,78.169
HURPAN,F d d 2,False,"(0, 0, 1)",14.507,14.507,26.40441510429648,4.318,1.1025443906063772,94.7035350920604,77.407
KAMZAC,F d d 2,False,"(0, 0, 1)",18.971,18.971,36.29893243609239,5.872,1.0487108579735571,94.64604807041653,76.925
KENNIB,F d d 2,False,"(0, 0, 1)",17.842,17.842,34.380782902662354,5.946,1.0417649898547692,94.9335312300711,75.991
QONCAA,F d d 2,False,"(0, 0, 1)",19.315,19.315,10.68901496864889,5.921,3.761165342485508,73.9187633697878,77.051
TASDUN01,F d d 2,False,"(0, 0, 1)",13.452,13.452,26.904958056090702,6.265,0.9999643910951764,90.0,76.891
UQIZAY,F d d 2,False,"(0, 0, 1)",16.17,16.17,9.233444915089926,5.226,3.651769415149223,106.43933598376306,76.375
WIWWOR,F d d 2,False,"(0, 0, 1)",14.96,14.96,22.153337355802627,5.033,1.3594491632902883,83.45405004809338,75.825
XIMBII,F d d 2,False,"(0, 0, 1)",19.099,19.099,36.76740317183143,5.719,1.0420842356590128,85.52638510835146,77.332
YAHXOU,F d d 2,False,"(0, 0, 1)",16.779,16.779,33.558524461006925,5.935,0.9999843717500888,90.0,79.968
ZEXDIS,F d d 2,False,"(0, 0, 1)",14.158,14.158,18.77057995907425,4.808,1.521042748792146,82.64596478960117,75.711
ASPFSN,P -4,True,"(0, 0, 1)",18.437,18.437,26.07385544947276,7.067,1.414213562373095,90.0,79.148
BAWNUL,P 3 1 c,True,"(0, 0, 1)",18.666,18.666,32.32947925655469,8.113,1.1547355806057735,90.0,77.739
EXIDOH,P 3 1 c,True,"(0, 0, 1)",17.812,17.812,30.8523327643146,8.466,1.15466147315786,90.0,76.633
XETTAU,P 3 1 c,True,"(0, 0, 1)",17.94,17.94,31.07274361880521,8.426,1.1547097494887912,90.0,76.782
YIYJAS,P 3 1 c,True,"(0, 0, 1)",23.457,23.457,40.62896986141785,8.828,1.1546933176012064,90.0,79.343
TUHKUC,P c c n,False,"(0, 1, 0)",6.747,11.527,9.346,0.706,1.9552749839503527,90.0,87.789
BEHNAE,R 3 c,True,"(0, 0, 1)",21.753,21.753,21.924435545755788,8.196,2.0000481293634547,97.18075578145827,75.888
HUVWIF,R 3 c,True,"(0, 0, 1)",15.88,15.881,27.507,7.058,1.154651543243538,90.0,77.47
LECWEZ,R 3 c,True,"(0, 0, 1)",18.836,18.836,18.992226225484995,7.294,2.000000067927384,97.35403521039883,75.527
OMEWAH,R 3 c,True,"(0, 0, 1)",19.451,19.451,19.607522587007264,7.414,1.999973742907472,97.2385081759144,75.745
VURZUD,R 3 c,True,"(0, 0, 1)",19.948,19.948,20.11880115712664,7.848,1.9999926923494609,97.46959231641692,75.304
EHOGUE,P n n a,False,"(0, 1, 0)",8.473,10.171,11.228,3.348,1.6604916280726754,90.0,79.819
ELERAO,P n n a,False,"(0, 1, 0)",8.542,18.574,19.899446901861367,0.562,1.3879334082894017,79.04721580110888,80.902
RUMVAW,P n c n,False,"(1, 0, 0)",9.264,11.56,14.397,2.841,1.4464124470375772,90.0,82.231
SMDTCU,P n n a,False,"(0, 1, 0)",7.429,11.152,12.57,0.931,1.4782020684168655,90.0,87.13
ZUNCET,P n n a,False,"(0, 1, 0)",9.275,14.791,17.706,1.009,1.3592002710945443,90.0,87.6
HILCAG,P 4/n,True,"(0, 0, 1)",19.556,19.556,27.65636042576825,9.665,1.414213562373095,90.0,76.117
MOJQIL,P 4/n,True,"(0, 0, 1)",18.217,18.217,25.76272846575067,8.387,1.4142135623730951,90.0,77.034
XUNPAA,P 4/n,True,"(0, 0, 1)",20.474,20.474,28.95460847602675,9.72,1.414213562373095,90.0,76.645
YEPKEN,P 4/n,True,"(0, 0, 1)",20.161,20.161,28.51195963100397,10.69,1.414213562373095,90.0,75.149
ZEXVIK,P 4/n,True,"(0, 0, 1)",21.627,21.627,30.58519671344293,10.671,1.414213562373095,90.0,76.14
AHOZIJ,R -3,True,"(0, 0, 1)",19.619,19.619,0.0199499373432593,8.817,1989.330511832855,81.37307344132137,77.332
AMAHIF,R -3,True,"(0, 0, 1)",23.15,23.15,23.24316546858452,6.239,1.999919839484926,95.10608044420732,79.83
BURJON,R -3,True,"(0, 0, 1)",21.708,21.708,21.775837802481902,5.14,2.000020274099678,94.53108802917886,81.022
EHIQIX,R -3,True,"(0, 0, 1)",21.529,21.529,21.58476543768776,4.63,1.999879955192662,94.07142592016764,81.853
EJELEM,R -3,True,"(0, 0, 1)",19.746,19.747,34.203,7.924,1.1546647954857758,90.0,78.656
GIRZOX,R -3,True,"(0, 0, 1)",19.098,19.098,19.254587271608813,7.358,1.9999290600615969,97.29626796504029,75.608
GUYCOU,R -3,True,"(0, 0, 1)",17.94,17.941,31.075,6.188,1.1546580852775543,90.0,80.214
HIFWOJ,R -3,True,"(0, 0, 1)",16.23,16.231,28.113,8.108,1.1546615444812007,90.0,75.974
HISWIT,R -3,True,"(0, 0, 1)",24.583,24.583,24.68407462312493,6.67,1.9999267116653203,95.16360709084638,79.75
HOBPET,R -3,True,"(0, 0, 1)",19.365,19.366,33.541805929317526,7.6,1.1547082492104817,90.0,78.896
IVOTAP,R -3,True,"(0, 0, 1)",15.595,15.595,0.0162480768092713,8.041,1934.2995755130733,97.06527293065002,75.539
JEBVUL,R -3,True,"(0, 0, 1)",23.719,23.719,23.87284360942365,8.132,2.000150897486699,96.54594995190664,77.114
KAVRUU,R -3,True,"(0, 0, 1)",17.022,17.023,29.485,8.179,1.154654909275903,90.0,76.49
LIGXUU01,R -3,True,"(0, 0, 1)",20.812,20.812,20.995900861834915,8.313,1.9999826282433188,97.5851799878851,75.086
MAQYOS,R -3,True,"(0, 0, 1)",20.161,20.161,20.280244993589204,6.588,1.999938130925652,96.20003713251636,77.716
MEZVOC,R -3,True,"(0, 0, 1)",19.477,19.478,33.73579819716735,8.645,1.1547081166519098,90.0,77.487
OMEVOU,R -3,True,"(0, 0, 1)",19.83,19.83,19.994958839667564,7.696,1.9999512201247616,97.35403521039883,75.504
QENMEC,R -3,True,"(0, 0, 1)",20.578,20.578,20.69751011595356,6.665,1.999933315831812,96.14240739101976,77.825
QINFIC,R -3,True,"(0, 0, 1)",20.804,20.805,36.035,8.274,1.1546829471347302,90.0,78.753
QUZPUZ,R -3,True,"(0, 0, 1)",16.991,16.991,17.123430789418343,6.365,1.9999675266150063,97.1230107201784,75.974
RAPDIV,R -3,True,"(0, 0, 1)",21.639,21.639,21.77985422357092,7.419,2.00010482529871,96.54594995190664,77.114
SACKEN,R -3,True,"(0, 0, 1)",21.83,21.83,21.998638389682213,8.163,2.000104660306532,97.1230107201784,75.991
WIRPEV,R -3,True,"(0, 0, 1)",18.918,18.918,19.08077286170558,7.461,1.999909793068643,97.46959231641692,75.281
WULHAO,R -3,True,"(0, 0, 1)",18.931,18.931,19.09530539164012,7.478,2.000026509159158,97.52738230055525,75.235
XAPYIW,R -3,True,"(0, 0, 1)",23.681,23.682,23.83907139550532,8.215,2.000049755074035,83.39637495126611,76.977
XEYXUX,R -3,True,"(0, 0, 1)",17.91,17.911,31.023,5.922,1.1546594462173223,90.0,80.615
XIQWON,R -3,True,"(0, 0, 1)",32.734,32.734,33.01029233436142,12.786,1.9999707998240888,97.41180997362314,75.407
XIWDAK,R -3,True,"(0, 0, 1)",22.844,22.845,39.568092511517406,9.232,1.1546930139910316,90.0,78.575
YEYREB,R -3,True,"(0, 0, 1)",19.116,19.116,19.233858999171225,6.38,2.0001044660669587,96.37296438557485,77.447
YIPDEH,R -3,True,"(0, 0, 1)",19.846,19.846,19.99191441558312,7.235,2.000098365429356,96.94981892148948,76.329
FOCGAJ,I b a 2,True,"(0, 0, 1)",15.565,15.565,19.244,7.6,1.6176470588235294,90.0,76.278
AXAWOO,I b a 2,True,"(0, 0, 1)",15.384,15.384,15.491,7.807,1.98618552708024,90.0,75.762
HUDTAD,I b a 2,True,"(0, 0, 1)",17.125,17.125,21.564,8.903,1.5882953069931367,90.0,75.43
ICEMOV,I b a 2,True,"(0, 0, 1)",15.155,15.155,20.646,6.684,1.4680809842100164,90.0,77.561
IPMHBH,I b a 2,True,"(0, 0, 1)",15.545,15.545,31.09,7.302,1.0,90.0,76.782
KUKQEP,I b a 2,True,"(0, 0, 1)",20.076,20.076,40.152,8.695,1.0,90.0,77.779
MERGUM,I b a 2,True,"(0, 0, 1)",14.719,14.719,18.454,7.204,1.5952097106318412,90.0,76.249
MISVES,I b a 2,True,"(0, 0, 1)",15.412,15.412,17.858,7.117,1.726061149064845,90.0,77.0
NOTVEZ,I b a 2,True,"(0, 0, 1)",15.793,15.793,19.342,7.53,1.633026574294282,90.0,76.593
PEWVIA,I b a 2,True,"(0, 0, 1)",13.621,13.621,27.242,6.886,1.0,90.0,75.814
QIPZOG,I b a 2,True,"(0, 0, 1)",15.862,15.862,19.4,7.442,1.6352577319587631,90.0,76.799
TANGEU,I b a 2,True,"(0, 0, 1)",16.835,16.835,23.358,8.36,1.4414761537802894,90.0,76.054
TOQUBS10,I b a 2,True,"(0, 0, 1)",16.273,16.273,22.2,7.3,1.466036036036036,90.0,77.361
WEYYUX,I 2 c b,True,"(1, 0, 0)",17.033,17.033,17.124,6.864,1.9893716421396872,90.0,78.61
YUYXEV,I b a 2,True,"(0, 0, 1)",15.421,15.421,17.3,7.649,1.7827745664739882,90.0,76.072
ATESUO,P 42/n,True,"(0, 0, 1)",21.091,21.091,29.82717824401095,7.497,1.4142135623730951,90.0,79.922
BIYMAA,P 42/n,True,"(0, 0, 1)",23.204,23.204,32.8154115013053,8.207,1.4142135623730951,90.0,79.973
COZCIE,P 42/n,True,"(0, 0, 1)",22.891,22.891,32.37417686984489,5.224,1.4141517847406309,90.0,83.491
DEPJAJ,P 42/n,True,"(0, 0, 1)",17.559,17.559,24.832175941709178,8.139,1.4142135623730951,90.0,76.954
DLABUT11,P 42/n,True,"(0, 0, 1)",13.4,13.4,18.950461735799475,5.82,1.414213562373095,90.0,77.75
DLABUT12,P 42/n,True,"(0, 0, 1)",13.354,13.354,18.88540791193031,5.806,1.414213562373095,90.0,77.733
DOXBZA,P 42/n,True,"(0, 0, 1)",18.905,18.905,26.735707396663365,7.529,1.414213562373095,90.0,78.736
DUTKAE10,P 42/n,True,"(0, 0, 1)",21.774,21.774,30.793086107111773,7.704,1.4142135623730951,90.0,79.968
FEPGIQ,P 42/n,True,"(0, 0, 1)",20.41,20.41,28.86409880803487,7.176,1.414213562373095,90.0,80.031
FIRTUY,P 42/n,True,"(0, 0, 1)",19.638,19.638,27.772325937882844,8.273,1.414213562373095,90.0,78.106
FUHXOY,P 42/n,True,"(0, 0, 1)",20.966,20.966,29.651815762276684,7.703,1.4141461128780617,90.0,79.59
HAJSAO01,P 42/n,True,"(0, 0, 1)",24.566,24.566,34.74157037325745,6.386,1.414213562373095,90.0,82.592
HASHUH,P 42/n,True,"(0, 0, 1)",20.816,20.816,29.438269514358343,8.58,1.414213562373095,90.0,78.358
HOPJUR,P 42/n,True,"(0, 0, 1)",17.589,17.589,24.874602348580368,6.276,1.414213562373095,90.0,79.882
IQAFEL,P 42/n,True,"(0, 0, 1)",21.859,21.859,30.91329425991349,4.215,1.414213562373095,90.0,84.494
IQUPIW,P 42/n,True,"(0, 0, 1)",22.27,22.27,31.494536034048828,8.823,1.414213562373095,90.0,78.793
JAZFOG,P 42/n,True,"(0, 0, 1)",25.612,25.612,36.22083775949971,9.64,1.414213562373095,90.0,79.343
KEPRIG,P 42/n,True,"(0, 0, 1)",24.846,24.846,35.13755017072192,7.822,1.4142135623730951,90.0,81.056
KEQQIH,P 42/n,True,"(0, 0, 1)",19.137,19.137,27.06380494313392,9.417,1.4142135623730951,90.0,76.175
MAFCUV,P 42/n,True,"(0, 0, 1)",24.509,24.509,34.66096020020219,10.287,1.414213562373095,90.0,78.146
MAZLUY,P 42/n,True,"(0, 0, 1)",18.3,18.3,25.88010819142764,8.957,1.414213562373095,90.0,76.249
MIQFUN,P 42/n,True,"(0, 0, 1)",21.175,21.175,29.945972183250287,8.801,1.4142135623730951,90.0,78.26
