ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
TURCOB,P c c a,False,"(1, 0, 0)",1.838,4.802,8.928844998094657,24.449,1.843227509770386,156.20572704946338,11.505
GAGFUQ,R -3 c,True,"(0, 0, 1)",8.11,8.11,55.229686410480376,34.19,1.9854755273560043,171.49385304652293,10.348
DIZMUY,P c c n,False,"(1, 0, 0)",1.935,5.654,7.724003495597344,30.601,1.667601448745132,143.9009837412679,11.637
ABOHOR,P c c n,False,"(0, 1, 0)",2.296,6.191,7.191066263079488,26.496,1.7873852304664086,138.67707537620095,14.903
ADICEX,P c c n,False,"(0, 1, 0)",2.618,5.965,7.216655527320118,29.649,2.2174834100859417,147.56495192511866,13.505
AYEROL,P c c n,False,"(1, 0, 0)",2.404,7.214,9.618,37.047,1.0,90.0,14.553
AZAVOM,P n a a,False,"(0, 0, 1)",3.313,8.002,13.400541369661154,39.211,1.037431111786388,125.52090808905254,13.539
BACPIF,P c c n,False,"(0, 1, 0)",2.108,5.444,10.232363070180808,21.711,1.048066852214825,135.23491532867158,14.61
BACQIG,P c c n,False,"(1, 0, 0)",1.887,4.587,8.805501064675422,24.706,2.0142016105109044,158.5912370707241,11.133
BADNAX,P c c n,False,"(0, 1, 0)",1.339,4.017,5.356,22.518,1.0,90.0,13.379
BAJQOT,P c c n,False,"(0, 1, 0)",1.922,5.764,7.686,32.756,1.0,90.0,13.207
BAKVUE,P c c n,False,"(1, 0, 0)",2.827,6.578,12.440444525819808,59.597,1.031082155771209,132.84364304359633,7.867
BERTOK,P c c n,False,"(1, 0, 0)",1.802,4.916,8.066879322265828,36.301,1.7671915498557385,151.88457139765288,8.795
BOCYIB,P c c n,False,"(1, 0, 0)",2.069,5.824,6.65778108681864,36.243,1.7186578257610596,136.38572307427617,10.88
BOVMUU,P c c n,False,"(1, 0, 0)",2.619,5.787,7.640924747699064,33.654,2.334493397348403,151.88457139765288,11.757
BUDYUX,P c c n,False,"(0, 1, 0)",1.8,5.4,7.2,30.157,1.0,90.0,13.43
CEXCIR,P c c n,False,"(0, 1, 0)",3.68,6.57,34.42472904759019,48.382,1.5763957564228728,169.11251712273895,7.11
CIFNAG,P c c n,False,"(1, 0, 0)",1.947,5.439,8.330385885419714,35.796,1.731788823769634,149.2044876859724,9.757
DABLUO,P c c n,False,"(1, 0, 0)",2.26,5.943,7.112766128588792,38.496,1.8356581925884468,141.0778202817387,10.554
DAWCEN,P c c n,False,"(1, 0, 0)",3.236,6.836,7.766748161231958,35.33,2.575633621691084,149.76871374487817,13.47
DIZXER,P c c n,False,"(1, 0, 0)",1.835,5.503,7.338,33.923,1.0,90.0,12.204
DOVFEA,P c c n,False,"(0, 1, 0)",1.989,5.368,9.48306031827279,32.233,1.0554273131572058,132.687552985321,10.772
EFIWIC,P c c n,False,"(1, 0, 0)",2.022,6.064,8.086,33.496,1.0,90.0,13.573
EHITAS,P c c n,False,"(0, 1, 0)",2.246,5.217,9.033061164411542,26.943,1.030806329646817,126.726792084264,12.995
EXIRAF,P c c n,False,"(0, 1, 0)",2.026,5.772,9.19824341926218,27.875,1.062713794319719,127.08506032429864,13.132
EZAKIA,P c c n,False,"(1, 0, 0)",2.36,5.237,7.724728668374055,34.258,2.323450998799444,154.95830480700477,10.434
FARPEW,P c c n,False,"(0, 1, 0)",2.276,5.449,7.204091684591472,30.458,2.054579165024675,148.5394808041749,11.918
FIQMIE01,P c c n,False,"(0, 1, 0)",2.49,5.506,9.880903906019936,35.876,2.3345510686915807,159.71835018704982,10.044
FODCAD,P c c n,False,"(0, 1, 0)",1.818,4.904,7.968718905821688,27.304,1.790025374844561,151.88457139765288,11.075
GABWEP,P c c n,False,"(0, 1, 0)",2.215,6.555,7.540330695665808,28.07,1.6492696776525029,135.15361072095865,14.708
GAXVIK,P c c n,False,"(1, 0, 0)",1.904,5.712,7.616,32.904,1.0,90.0,13.035
GEGCOL,P c c n,False,"(1, 0, 0)",2.082,6.245,8.327,52.521,1.0,90.0,9.007
GENNAS,P c c n,False,"(0, 1, 0)",1.935,5.805,7.74,31.138,1.0,90.0,13.957
GEXREJ,P c c n,False,"(1, 0, 0)",1.991,5.145,8.393038186497188,24.329,1.0492618441318111,125.87366688232014,13.711
GIWROU,P c c n,False,"(1, 0, 0)",2.619,5.732,11.334469418548007,23.669,1.0192629667778483,133.7093197495268,14.845
GOMPOQ,P c c n,False,"(0, 1, 0)",3.732,5.915,23.82510898191234,27.057,1.2167001301339115,160.56162933713168,11.024
GUPVIY,P c c n,False,"(0, 1, 0)",1.807,5.136,7.649772937806716,32.301,1.7073378078888983,147.88685675134212,10.153
GUZSAW,P c c n,False,"(1, 0, 0)",3.888,6.422,22.44442928657354,30.704,1.6018399088677409,163.33542862618089,11.173
HADLII,P c c n,False,"(0, 1, 0)",1.789,5.336,8.982496646255983,23.877,1.6384461130550552,151.04497562814015,12.651
HAXKOG,P c c n,False,"(0, 1, 0)",1.744,4.514,7.155753070082841,31.666,1.8632113554157343,152.0063966031449,9.356
HOKPUS,P c c n,False,"(0, 1, 0)",2.22,5.924,7.721617965167662,31.224,1.807055257831242,144.29179961630675,12.256
HUSBII,P c c n,False,"(1, 0, 0)",2.82,4.299,13.73173251996994,42.797,1.2438556905030476,24.6324773174015,7.34
