ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
BUTCAV,C c c a,False,"(0, 1, 0)",5.282,5.282,10.564,6.419,1.0,90.0,58.717
ABOTUI,I -4,True,"(0, 0, 1)",10.766,10.766,15.226,12.709,1.414159989491659,90.0,59.45
AGINAG,I -4,True,"(0, 0, 1)",14.552,14.552,20.58,20.365,1.4141885325558796,90.0,55.021
AHUXIL,I -4,True,"(0, 0, 1)",10.891,10.891,15.402,16.341,1.414231917932736,90.0,53.125
GABPIM,I -4,True,"(0, 0, 1)",10.744,10.744,21.48897508025918,16.486,0.9999546241616672,90.0,52.506
LIWRUG,I -4,True,"(0, 0, 1)",12.428,12.428,17.576,14.787,1.4142011834319528,90.0,59.25
MUWLAS,I -4,True,"(0, 0, 1)",11.488,11.488,16.246,14.097,1.4142558168164472,90.0,58.47
SACKAM,I -4,True,"(0, 0, 1)",8.509,8.509,12.034,14.38,1.4141598803390394,90.0,49.801
VARLAD,I -4,True,"(0, 0, 1)",11.987,11.987,16.952,14.753,1.4142284096271824,90.0,58.39
VOTJIX,I -4,True,"(0, 0, 1)",10.003,10.003,14.146,11.91,1.4142513784815496,90.0,59.232
XIBDAR,I -4,True,"(0, 0, 1)",9.593,9.593,13.566,18.118,1.4142709715465132,90.0,46.639
HIWCOJ,A b a 2,False,"(0, 0, 1)",5.654,5.655,11.309,8.479,1.0,90.0,53.142
AROSAE,A b a 2,False,"(0, 0, 1)",4.89,4.89,9.78,7.138,1.0,90.0,53.875
AROSAE01,A b a 2,False,"(0, 0, 1)",4.876,4.876,9.752,7.14,1.0,90.0,53.789
BUZBOP,A b a 2,False,"(0, 0, 1)",12.185,12.185,24.37,17.976,1.0,90.0,53.589
DIVGEU,A b a 2,False,"(0, 0, 1)",10.406,10.406,20.812,17.296,1.0,90.0,50.271
ECAQII,A b a 2,False,"(0, 0, 1)",5.814,5.814,11.628,8.641,1.0,90.0,53.382
FESDIU,A b a 2,False,"(0, 0, 1)",4.777,4.777,9.554,7.2,1.0,90.0,52.999
GUHKAX,A b a 2,False,"(0, 0, 1)",10.553,10.553,21.106,15.805,1.0,90.0,53.17
IQUTOF,A b a 2,False,"(0, 0, 1)",7.954,7.954,15.908,11.633,1.0,90.0,53.824
LIGJES,A b a 2,False,"(0, 0, 1)",5.488,5.488,10.976,6.713,1.0,90.0,58.551
LOJNEG,A b a 2,False,"(0, 0, 1)",9.827,9.827,19.654,15.14,1.0,90.0,52.391
NEQNEE,A b a 2,False,"(0, 0, 1)",6.577,6.577,13.154,8.318,1.0,90.0,57.691
NEQNEE01,C 2 c b,False,"(1, 0, 0)",6.614,6.614,13.228,8.394,1.0,90.0,57.599
NEZLAI,A b a 2,False,"(0, 0, 1)",6.836,6.836,13.672,8.209,1.0,90.0,59.02
NOBNEY,A b a 2,False,"(0, 0, 1)",9.828,9.828,19.656,16.036,1.0,90.0,50.793
RIPNEJ,A b a 2,False,"(0, 0, 1)",6.167,6.167,12.334,11.127,1.0,90.0,47.945
UWOJOG,A b a 2,False,"(0, 0, 1)",8.915,8.915,17.83,12.283,1.0,90.0,55.439
XEFRUZ,A b a 2,False,"(0, 0, 1)",6.636,6.636,13.272,9.62,1.0,90.0,54.064
YEMFEE,A b a 2,False,"(0, 0, 1)",9.527,9.527,19.054,18.195,1.0,90.0,46.324
YIBXEN,A b a 2,False,"(0, 0, 1)",5.787,5.787,11.574,11.263,1.0,90.0,45.779
YUZYIE,A b a 2,False,"(0, 0, 1)",14.432,14.432,28.864,17.411,1.0,90.0,58.9
ZEJXIX,A b a 2,False,"(0, 0, 1)",9.556,9.556,19.112,12.926,1.0,90.0,55.926
ZUWCOL,A b a 2,False,"(0, 0, 1)",6.63,6.63,13.26,10.015,1.0,90.0,52.936
TOPNIZ,A b a 2,False,"(0, 0, 1)",6.102,6.102,12.204,9.818,1.0,90.0,51.182
JOKTEM,F d d 2,False,"(0, 0, 1)",12.249,12.249,24.21949885939013,13.43,1.052690928349954,73.9187633697878,50.575
ROBSAG,F d d 2,False,"(0, 0, 1)",11.306,11.306,21.9828006632458,10.243,1.0577346578102618,103.473758888625,55.806
ROBWEO,F d d 2,False,"(0, 0, 1)",13.895,13.895,11.436086918172666,15.46,3.2976274306532165,132.53185416988848,50.157
YOBREQ,F d d 2,False,"(0, 0, 1)",10.334,10.334,19.44774087137116,9.49,1.0958678998432383,104.12274454756444,55.445
ACIJEC,F d d 2,False,"(0, 0, 1)",7.014,7.014,11.915173729325142,7.203,1.2349863993241792,72.42223256675334,52.403
ACUKIS01,F d d 2,False,"(0, 0, 1)",17.065,17.065,9.79652550652526,17.028,7.040830936168096,150.342640189956,53.193
ACUWAW,F d d 2,False,"(0, 0, 1)",13.846,13.846,17.899242553806573,11.445,1.632970156238675,71.33707511505752,58.195
ARAMEN,F d d 2,False,"(0, 0, 1)",10.111,10.111,18.652884924322027,9.407,1.120276257166164,104.59589350020148,55.101
AYEQOM,F d d 2,False,"(0, 0, 1)",10.854,10.854,13.128395522682885,10.13,1.7924306427664842,112.70583552378,55.004
BIDTIS,F d d 2,False,"(0, 0, 1)",10.169,10.169,18.729410562001146,10.571,1.1318213931022487,106.37960728992437,52.065
CAMHAB,F d d 2,False,"(0, 0, 1)",9.089,9.089,8.235294287394957,11.253,3.022005752771684,133.0785207666977,47.126
CASHUC,F d d 2,False,"(0, 0, 1)",11.534,11.534,17.420073622117677,10.321,1.3863443802271556,72.78248856819964,56.138
CDECEA,F d d 2,False,"(0, 0, 1)",9.914,9.914,19.666188751255287,10.789,1.0483485112331312,105.9024295628109,50.787
DAZGUG,F d d 2,False,"(0, 0, 1)",8.751,8.751,16.427453393633478,10.906,1.1294762210673004,109.39021238605228,46.931
DEPXAX,F d d 2,False,"(0, 0, 1)",10.935,10.935,15.255345063288472,10.253,1.5220870073846038,70.36664110243883,54.884
DEPXAX10,F d d 2,False,"(0, 0, 1)",10.935,10.935,15.255345063288472,10.253,1.5220870073846038,70.36664110243883,54.884
DIJGIN,F d d 2,False,"(0, 0, 1)",7.708,7.708,10.55231121603225,9.212,1.623331957682017,64.15105748601414,48.14
DIWZOY,F d d 2,False,"(0, 0, 1)",10.333,10.333,17.534787480890664,10.527,1.2354785856004435,107.4576031237221,52.62
DOSFAS,F d d 2,False,"(0, 0, 1)",9.848,9.848,19.69593582442835,11.755,1.0000032583154324,90.0,59.169
EQOHEA,F d d 2,False,"(0, 0, 1)",10.878,10.878,17.47537993864511,11.796,1.322803611753903,109.75507002159956,50.867
EQUJUV,F d d 2,False,"(0, 0, 1)",11.46,11.46,21.04098992443084,15.078,1.1666243742431002,110.9774198757282,45.39
EVATOL,F d d 2,False,"(0, 0, 1)",10.917,10.917,17.691799908432156,9.443,1.2806221000321434,105.48582706175188,57.021
FEBREM,F d d 2,False,"(0, 0, 1)",14.094,14.094,27.56635929897164,10.943,1.0432040326676213,101.42002878686596,59.805
FIRMUP,F d d 2,False,"(0, 0, 1)",11.044,11.044,10.898992981005172,10.585,2.318884173635476,119.07801048077977,54.282
GAJQOY,F d d 2,False,"(0, 0, 1)",11.1,11.1,19.615933549031,11.409,1.1829264812204845,106.91783404557256,52.368
GEHLIO,F 2 d d,False,"(1, 0, 0)",11.647,11.647,9.192769550032244,9.253,2.931838296241436,120.19867767745862,59.215
GELTUM,F 2 d d,False,"(1, 0, 0)",9.456,9.456,12.413492055018205,10.434,1.6787472707518167,114.83458748970158,50.397
GENJIS,F d d 2,False,"(0, 0, 1)",9.872,9.872,12.052134790152325,9.613,1.7865906999943395,113.51567852258498,53.852
GEVSIM,F d 2 d,False,"(0, 1, 0)",9.914,9.914,19.873673968343148,12.003,1.0465682274628625,107.57776743324666,47.762
GIKQUQ,F d d 2,False,"(0, 0, 1)",11.447,11.447,18.28175519472898,9.735,1.2990890033804143,105.42638142269452,57.479
GOHKUJ,F d d 2,False,"(0, 0, 1)",8.948,8.948,11.749952042455323,11.445,1.7438362858112837,119.1435902671248,46.192
HABXAJ,F d d 2,False,"(0, 0, 1)",10.836,10.836,20.15935596689537,13.294,1.1388305702851274,109.26877549148378,47.372
HEYROW,F d d 2,False,"(0, 0, 1)",10.364,10.364,11.222285150538635,8.779,2.0067990604852066,113.01673663977544,57.577
HIBHEF,F d d 2,False,"(0, 0, 1)",13.082,13.082,23.293775842486333,10.727,1.1541608277137994,103.29707174720905,58.419
HIFPUJ,F d d 2,False,"(0, 0, 1)",9.865,9.865,19.73055224771978,16.864,0.9999720105290087,90.0,49.481
HIHBIJ,F d d 2,False,"(0, 0, 1)",10.964,10.964,13.4372665375068,10.468,1.772212408848795,67.04550059860719,54.385
HUFZAM,F d d 2,False,"(0, 0, 1)",14.382,14.382,10.025953570608634,16.142,4.83579277638822,36.38974467753355,49.91
IRASAX,F d d 2,False,"(0, 0, 1)",10.27,10.27,7.390205680493609,9.584,3.649169011542397,130.39097962028853,55.015
JIMYUA,F d d 2,False,"(0, 0, 1)",9.402,9.402,11.854718765116278,9.838,1.743423252839789,114.5193164833804,51.876
JIWWOB,F d d 2,False,"(0, 0, 1)",12.136,12.136,8.880209738514061,9.351,3.2137782145781064,121.73558718581616,59.983
JUBQOO,F d d 2,False,"(0, 0, 1)",11.294,11.294,20.65783667279805,9.14,1.1211568606249225,102.76777458507256,58.751
JURQIW,F d d 2,False,"(0, 0, 1)",12.885,12.885,24.77036981960504,10.477,1.064553541992151,102.23958315615224,58.602
KAKPUH,F d d 2,False,"(0, 0, 1)",11.588,11.589,22.052150598070927,10.279,1.0807544957585722,76.526241111375,56.368
KANBUX,F d d 2,False,"(0, 0, 1)",11.968,11.968,22.583430474575824,11.232,1.0943606673180335,104.41834523665996,54.849
KIZVIB,F d d 2,False,"(0, 0, 1)",9.543,9.543,14.928895906931633,8.694,1.3362908383279306,73.08216595442747,55.663
KOHHIY,F d d 2,False,"(0, 0, 1)",10.637,10.637,18.04104398309588,12.563,1.2578207231363494,69.63496512336891,48.472
LACSIR,F d d 2,False,"(0, 0, 1)",13.276,13.276,10.06472423864658,14.015,3.6740549159068334,134.10695794215945,51.635
LEPRED,F d d 2,False,"(0, 0, 1)",9.975,9.975,16.53911787248643,8.393,1.2471318644148146,104.71433854181764,57.737
