ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
ONIZER,A m a 2,False,"(0, 0, 1)",14.652,14.652,29.304,31.395,1.0,90.0,43.029
PESCFE10,P c c a,False,"(1, 0, 0)",3.442,7.556,15.31315898173855,7.421,1.0730838746347342,137.9876004900585,30.327
VOKJEN,P c c a,False,"(1, 0, 0)",3.67,8.315,13.758719453495663,5.349,1.079849618678073,126.22800338924074,41.637
XURWOX,P c c a,False,"(1, 0, 0)",5.535,9.292,18.355697453379427,7.577,1.0264268397749383,128.0973880214233,38.113
AWIVIL,I -4,True,"(0, 0, 1)",9.362,9.362,13.24,22.166,1.4141993957703929,90.0,40.187
MHPYCI,P b a m,False,"(1, 0, 0)",2.898,6.51,11.074242953809527,6.447,1.024568287157142,123.98666925601958,36.664
BEVRID,A b a 2,False,"(0, 0, 1)",4.902,4.903,9.805,9.905,1.0,90.0,44.708
ONAGIV,A b a 2,False,"(0, 0, 1)",9.978,9.978,19.956,27.354,1.0,90.0,36.114
AFIMEI,F d d 2,False,"(0, 0, 1)",10.078,10.078,10.628488227400922,17.901,3.515276553260437,147.35192120884972,36.893
BADGUK,F d d 2,False,"(0, 0, 1)",8.244,8.244,14.949605780755558,11.146,1.188691615007072,111.90075445283848,44.593
COYDEC,F d d 2,False,"(0, 0, 1)",7.405,7.405,12.611335218762523,15.041,1.4624696520861893,126.5839527076208,33.289
FIJDEK,F d d 2,False,"(0, 0, 1)",9.721,9.721,12.27776433232044,15.317,2.0264444862583733,51.39117230458711,40.233
FUYXAA,F d d 2,False,"(0, 0, 1)",7.872,7.872,14.112678696831445,11.227,1.216056618268898,113.4532082192253,43.069
IGAJIM,F d d 2,False,"(0, 0, 1)",10.203,10.203,11.800851876029968,15.215,2.262806384863992,49.83432453067045,41.797
IGUQUZ,F d d 2,False,"(0, 0, 1)",10.002,10.002,18.344851403050395,19.233,1.2802850899548472,121.60094811201677,34.738
